Code	Site	Block	Plot	Point	Treatment	Depth	Date	SWC
1	Gamir	1	1	1	Control	10	27/11/2015	17.0
2	Gamir	1	1	1	Control	20	27/11/2015	22.6
3	Gamir	1	1	1	Control	30	27/11/2015	22.8
4	Gamir	1	1	1	Control	40	27/11/2015	24.1
5	Gamir	1	1	2	Control	10	27/11/2015	20.7
6	Gamir	1	1	2	Control	20	27/11/2015	18.0
7	Gamir	1	1	2	Control	30	27/11/2015	21.7
8	Gamir	1	1	2	Control	40	27/11/2015	19.9
9	Gamir	1	1	3	Control	10	27/11/2015	12.9
10	Gamir	1	1	3	Control	20	27/11/2015	21.2
11	Gamir	1	1	3	Control	30	27/11/2015	21.7
12	Gamir	1	1	3	Control	40	27/11/2015	17.8
13	Gamir	1	1	4	Control	10	27/11/2015	20.6
14	Gamir	1	1	4	Control	20	27/11/2015	17.2
15	Gamir	1	1	4	Control	30	27/11/2015	15.4
16	Gamir	1	1	4	Control	40	27/11/2015	17.8
17	Gamir	1	1	5	Control	10	27/11/2015	NA
18	Gamir	1	1	5	Control	20	27/11/2015	NA
19	Gamir	1	1	5	Control	30	27/11/2015	NA
20	Gamir	1	1	5	Control	40	27/11/2015	NA
21	Gamir	1	1	6	Control	10	27/11/2015	NA
22	Gamir	1	1	6	Control	20	27/11/2015	NA
23	Gamir	1	1	6	Control	30	27/11/2015	NA
24	Gamir	1	1	6	Control	40	27/11/2015	NA
25	Gamir	2	2	1	Control	10	27/11/2015	14.7
26	Gamir	2	2	1	Control	20	27/11/2015	16.8
27	Gamir	2	2	1	Control	30	27/11/2015	18.9
28	Gamir	2	2	1	Control	40	27/11/2015	20.3
29	Gamir	2	2	2	Control	10	27/11/2015	16.0
30	Gamir	2	2	2	Control	20	27/11/2015	17.6
31	Gamir	2	2	2	Control	30	27/11/2015	18.7
32	Gamir	2	2	2	Control	40	27/11/2015	16.7
33	Gamir	2	2	3	Control	10	27/11/2015	NA
34	Gamir	2	2	3	Control	20	27/11/2015	18.2
35	Gamir	2	2	3	Control	30	27/11/2015	22.3
36	Gamir	2	2	3	Control	40	27/11/2015	19.0
37	Gamir	2	2	4	Control	10	27/11/2015	9.8
38	Gamir	2	2	4	Control	20	27/11/2015	15.0
39	Gamir	2	2	4	Control	30	27/11/2015	15.9
40	Gamir	2	2	4	Control	40	27/11/2015	15.7
41	Gamir	2	2	5	Control	10	27/11/2015	NA
42	Gamir	2	2	5	Control	20	27/11/2015	NA
43	Gamir	2	2	5	Control	30	27/11/2015	NA
44	Gamir	2	2	5	Control	40	27/11/2015	NA
45	Gamir	2	2	6	Control	10	27/11/2015	NA
46	Gamir	2	2	6	Control	20	27/11/2015	NA
47	Gamir	2	2	6	Control	30	27/11/2015	NA
48	Gamir	2	2	6	Control	40	27/11/2015	NA
49	Gamir	2	3	1	Drought	10	27/11/2015	18.1
50	Gamir	2	3	1	Drought	20	27/11/2015	17.0
51	Gamir	2	3	1	Drought	30	27/11/2015	22.7
52	Gamir	2	3	1	Drought	40	27/11/2015	25.1
53	Gamir	2	3	2	Drought	10	27/11/2015	11.9
54	Gamir	2	3	2	Drought	20	27/11/2015	18.7
55	Gamir	2	3	2	Drought	30	27/11/2015	20.0
56	Gamir	2	3	2	Drought	40	27/11/2015	21.2
57	Gamir	2	3	3	Drought	10	27/11/2015	11.6
58	Gamir	2	3	3	Drought	20	27/11/2015	15.0
59	Gamir	2	3	3	Drought	30	27/11/2015	12.0
60	Gamir	2	3	3	Drought	40	27/11/2015	10.9
61	Gamir	2	3	4	Drought	10	27/11/2015	9.7
62	Gamir	2	3	4	Drought	20	27/11/2015	12.3
63	Gamir	2	3	4	Drought	30	27/11/2015	22.2
64	Gamir	2	3	4	Drought	40	27/11/2015	17.2
65	Gamir	2	3	5	Drought	10	27/11/2015	NA
66	Gamir	2	3	5	Drought	20	27/11/2015	NA
67	Gamir	2	3	5	Drought	30	27/11/2015	NA
68	Gamir	2	3	5	Drought	40	27/11/2015	NA
69	Gamir	2	3	6	Drought	10	27/11/2015	NA
70	Gamir	2	3	6	Drought	20	27/11/2015	NA
71	Gamir	2	3	6	Drought	30	27/11/2015	NA
72	Gamir	2	3	6	Drought	40	27/11/2015	NA
73	Gamir	3	4	1	Drought	10	27/11/2015	16.6
74	Gamir	3	4	1	Drought	20	27/11/2015	20.6
75	Gamir	3	4	1	Drought	30	27/11/2015	17.3
76	Gamir	3	4	1	Drought	40	27/11/2015	18.9
77	Gamir	3	4	2	Drought	10	27/11/2015	11.2
78	Gamir	3	4	2	Drought	20	27/11/2015	15.5
79	Gamir	3	4	2	Drought	30	27/11/2015	19.7
80	Gamir	3	4	2	Drought	40	27/11/2015	20.7
81	Gamir	3	4	3	Drought	10	27/11/2015	9.0
82	Gamir	3	4	3	Drought	20	27/11/2015	12.0
83	Gamir	3	4	3	Drought	30	27/11/2015	18.1
84	Gamir	3	4	3	Drought	40	27/11/2015	15.9
85	Gamir	3	4	4	Drought	10	27/11/2015	18.7
86	Gamir	3	4	4	Drought	20	27/11/2015	15.8
87	Gamir	3	4	4	Drought	30	27/11/2015	14.9
88	Gamir	3	4	4	Drought	40	27/11/2015	15.0
89	Gamir	3	4	5	Drought	10	27/11/2015	NA
90	Gamir	3	4	5	Drought	20	27/11/2015	NA
91	Gamir	3	4	5	Drought	30	27/11/2015	NA
92	Gamir	3	4	5	Drought	40	27/11/2015	NA
93	Gamir	3	4	6	Drought	10	27/11/2015	NA
94	Gamir	3	4	6	Drought	20	27/11/2015	NA
95	Gamir	3	4	6	Drought	30	27/11/2015	NA
96	Gamir	3	4	6	Drought	40	27/11/2015	NA
97	Gamir	3	5	1	Control	10	27/11/2015	11.4
98	Gamir	3	5	1	Control	20	27/11/2015	16.3
99	Gamir	3	5	1	Control	30	27/11/2015	18.8
100	Gamir	3	5	1	Control	40	27/11/2015	20.2
101	Gamir	3	5	2	Control	10	27/11/2015	8.2
102	Gamir	3	5	2	Control	20	27/11/2015	11.0
103	Gamir	3	5	2	Control	30	27/11/2015	11.4
104	Gamir	3	5	2	Control	40	27/11/2015	9.1
105	Gamir	3	5	3	Control	10	27/11/2015	NA
106	Gamir	3	5	3	Control	20	27/11/2015	9.4
107	Gamir	3	5	3	Control	30	27/11/2015	14.2
108	Gamir	3	5	3	Control	40	27/11/2015	15.8
109	Gamir	3	5	4	Control	10	27/11/2015	18.1
110	Gamir	3	5	4	Control	20	27/11/2015	18.5
111	Gamir	3	5	4	Control	30	27/11/2015	21.0
112	Gamir	3	5	4	Control	40	27/11/2015	20.4
113	Gamir	3	5	5	Control	10	27/11/2015	NA
114	Gamir	3	5	5	Control	20	27/11/2015	NA
115	Gamir	3	5	5	Control	30	27/11/2015	NA
116	Gamir	3	5	5	Control	40	27/11/2015	NA
117	Gamir	3	5	6	Control	10	27/11/2015	NA
118	Gamir	3	5	6	Control	20	27/11/2015	NA
119	Gamir	3	5	6	Control	30	27/11/2015	NA
120	Gamir	3	5	6	Control	40	27/11/2015	NA
121	Gamir	1	6	1	Drought	10	27/11/2015	14.0
122	Gamir	1	6	1	Drought	20	27/11/2015	16.2
123	Gamir	1	6	1	Drought	30	27/11/2015	16.9
124	Gamir	1	6	1	Drought	40	27/11/2015	19.0
125	Gamir	1	6	2	Drought	10	27/11/2015	19.0
126	Gamir	1	6	2	Drought	20	27/11/2015	14.0
127	Gamir	1	6	2	Drought	30	27/11/2015	16.2
128	Gamir	1	6	2	Drought	40	27/11/2015	16.9
129	Gamir	1	6	3	Drought	10	27/11/2015	15.7
130	Gamir	1	6	3	Drought	20	27/11/2015	9.5
131	Gamir	1	6	3	Drought	30	27/11/2015	12.5
132	Gamir	1	6	3	Drought	40	27/11/2015	12.4
133	Gamir	1	6	4	Drought	10	27/11/2015	16.7
134	Gamir	1	6	4	Drought	20	27/11/2015	12.3
135	Gamir	1	6	4	Drought	30	27/11/2015	13.3
136	Gamir	1	6	4	Drought	40	27/11/2015	17.3
137	Gamir	1	6	5	Drought	10	27/11/2015	NA
138	Gamir	1	6	5	Drought	20	27/11/2015	NA
139	Gamir	1	6	5	Drought	30	27/11/2015	NA
140	Gamir	1	6	5	Drought	40	27/11/2015	NA
141	Gamir	1	6	6	Drought	10	27/11/2015	NA
142	Gamir	1	6	6	Drought	20	27/11/2015	NA
143	Gamir	1	6	6	Drought	30	27/11/2015	NA
144	Gamir	1	6	6	Drought	40	27/11/2015	NA
1	Gamir	1	1	1	Control	10	12/12/2015	16.2
2	Gamir	1	1	1	Control	20	12/12/2015	24.2
3	Gamir	1	1	1	Control	30	12/12/2015	23.0
4	Gamir	1	1	1	Control	40	12/12/2015	23.5
5	Gamir	1	1	2	Control	10	12/12/2015	19.8
6	Gamir	1	1	2	Control	20	12/12/2015	18.6
7	Gamir	1	1	2	Control	30	12/12/2015	24.7
8	Gamir	1	1	2	Control	40	12/12/2015	23.3
9	Gamir	1	1	3	Control	10	12/12/2015	12.1
10	Gamir	1	1	3	Control	20	12/12/2015	18.1
11	Gamir	1	1	3	Control	30	12/12/2015	21.0
12	Gamir	1	1	3	Control	40	12/12/2015	22.3
13	Gamir	1	1	4	Control	10	12/12/2015	21.5
14	Gamir	1	1	4	Control	20	12/12/2015	18.2
